author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"দেব, অনীশ","অনীশ দেব","","365","","2023-09-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","আমি পিশাচ","f67e730e-c80a-4044-a2f2-9a48b2c4def8"
"দেব, অনীশ","অনীশ দেব","","366","","2023-08-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","দেখা যায় না, শোনা যায়","3369f76c-5a17-4c4a-a5e4-b5381dc6715b"
"দেব, অনীশ","অনীশ দেব","","367","","2023-08-18T23:30:00+05:30","Kindle Bangla","Kindle Bangla","বারোটি রহস্য উপন্যাস","a40c945d-60db-4595-9621-f16df6581d1b"
"দেব, অনীশ","অনীশ দেব","","368","","2023-08-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ভূতনাথের ডায়েরি","31282996-289a-471b-adf8-f481b184bed3"
"দেব, অনীশ","অনীশ দেব","","369","","2023-08-18T23:30:00+05:30","Kindle Bangla","Kindle Bangla","প্রতিঘাত","8fb0c05e-0a25-4681-98ce-ad337a52b028"
"হিটলার, অ্যাডলফ","অ্যাডলফ হিটলার","","370","","2023-06-01T23:30:00+05:30","Kindle Bangla","Kindle Bangla","মাইন ক্যাম্ফ","41fb99bc-0805-4afb-ad66-80040b557c84"
"ফ্রাঙ্ক, আনা","আনা ফ্রাঙ্ক","","371","","2023-07-29T23:30:00+05:30","Kindle Bangla","Kindle Bangla","আনা ফ্রাঙ্ক এর ডায়েরি","e7c0e5fe-f070-4855-ac68-2da2bd325c04"
"দেব, অনীশ","অনীশ দেব","","372","","2023-09-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ডট কম রহস্য","9f196b9e-bf5c-4faf-bd81-a20ce40ccff4"
"রায়, সুকুমার","সুকুমার রায়","","373","","2017-01-22T23:30:00+05:30","Kindle Bangla","Kindle Bangla","পাগলা দাশু","2447840c-0372-4cc8-b16f-def77df3987e"
"রায়, সুকুমার","সুকুমার রায়","","374","mobi-asin:6BX75ZNVLETWKPKI85A4KHVCA41AZ6LD","1922-09-14T05:30:00+05:30","Kindle Bangla","Kindle Bangla","হ য ব র ল","51a9408e-9a16-4b7e-8841-31f936a098be"
